DateTime,State,Fuel Type,Supply
28/12/2024 00:00,QLD,Hydro,29829.356
28/12/2024 00:00,QLD,Liquid Fuel,0
28/12/2024 00:00,QLD,Solar,141308.065
28/12/2024 00:00,QLD,Wind,44065.957
28/12/2024 00:00,SA,Battery,3226.389
28/12/2024 00:00,SA,Gas,33055.169
28/12/2024 00:00,SA,Liquid Fuel,335.854
28/12/2024 00:00,SA,Solar,17857.654
28/12/2024 00:00,SA,Wind,87016.298
28/12/2024 00:00,TAS,Gas,306.715
28/12/2024 00:00,TAS,Hydro,108415.436
28/12/2024 00:00,TAS,Wind,25502.579
28/12/2024 00:00,VIC,Battery,5547.436
28/12/2024 00:00,VIC,Brown coal,519214.187
28/12/2024 00:00,VIC,Gas,7008.137
28/12/2024 00:00,VIC,Hydro,34974.176
28/12/2024 00:00,VIC,Solar,46901.454
28/12/2024 00:00,VIC,Wind,142657.13
04/01/2025 00:00,NSW,Battery,2436.377
04/01/2025 00:00,NSW,Biomass,5427.068
04/01/2025 00:00,NSW,Black coal,835526.807
04/01/2025 00:00,NSW,Gas,11747.54
04/01/2025 00:00,NSW,Hydro,19144.041
04/01/2025 00:00,NSW,Liquid Fuel,0
04/01/2025 00:00,NSW,Solar,186049.307
04/01/2025 00:00,NSW,Wind,166039.429
04/01/2025 00:00,QLD,Battery,4341.49
04/01/2025 00:00,QLD,Biomass,4471.9
04/01/2025 00:00,QLD,Black coal,833696.74
04/01/2025 00:00,QLD,Gas,66417.286
04/01/2025 00:00,QLD,Hydro,26454.609
04/01/2025 00:00,QLD,Liquid Fuel,0
04/01/2025 00:00,QLD,Solar,144556.597
04/01/2025 00:00,QLD,Wind,50781.391
04/01/2025 00:00,SA,Battery,3566.28
04/01/2025 00:00,SA,Gas,49453.932
04/01/2025 00:00,SA,Liquid Fuel,130.191
04/01/2025 00:00,SA,Solar,27424.639
04/01/2025 00:00,SA,Wind,123280.752
04/01/2025 00:00,TAS,Gas,721.182
04/01/2025 00:00,TAS,Hydro,114258.199
04/01/2025 00:00,TAS,Wind,29261.841
04/01/2025 00:00,VIC,Battery,4914.656
04/01/2025 00:00,VIC,Brown coal,539985.042
04/01/2025 00:00,VIC,Gas,12531.016
